#head_JA,#r_shoulder_JA,#l_shoulder_JA,#r_upleg_JA,#l_upleg_JA,#r_elbow_JA,#l_elbow_JA,#upbody_JA,#waist_JA,#r_body_JA,#l_body_JA,#r_knee_JA,#l_knee_JA
110.36,77.47,77.98,109.46,117.17,73.57,79.65,90.51,84.58,175.15,174.92,33.07,179.0
109.54,78.2,77.25,108.87,117.16,74.08,79.65,90.5,84.33,175.15,175.34,178.15,178.12
104.86,76.68,78.83,111.0,116.22,74.47,81.03,89.26,90.55,176.25,175.51,179.58,176.0
104.25,75.9,78.86,112.43,114.02,78.76,84.99,89.23,85.45,175.66,175.5,178.93,178.52
133.37,74.01,71.61,104.54,119.42,66.71,74.74,93.15,79.97,177.32,176.87,179.63,178.38
147.21,74.74,69.3,109.34,124.71,34.97,44.14,87.57,81.24,177.08,172.52,178.51,172.76
116.28,68.75,56.6,114.29,126.95,31.29,36.14,85.08,86.58,174.92,173.98,32.26,34.04
159.29,49.28,81.82,92.29,178.66,27.99,32.96,106.5,84.54,178.85,171.23,29.84,31.94
108.33,58.66,51.92,99.16,128.9,28.36,32.05,98.64,79.9,178.8,171.63,30.36,33.59
2.11,67.18,48.48,115.39,123.11,37.69,42.71,84.05,82.21,175.17,173.85,174.69,177.61
148.03,70.92,64.99,110.88,120.32,61.82,61.95,87.92,75.67,175.62,175.21,175.63,177.0
141.64,73.57,73.48,104.67,124.67,75.01,77.72,91.51,86.32,176.64,174.88,175.04,179.51
123.36,78.42,76.96,109.84,128.39,70.19,75.11,89.04,85.74,177.38,176.8,179.88,176.05
120.51,79.41,74.35,108.68,124.18,79.13,77.43,90.64,89.31,177.95,176.45,177.1,177.81
113.96,79.44,74.31,107.7,121.24,82.2,80.89,89.62,95.54,176.57,176.03,177.56,179.56
113.78,79.08,72.85,109.18,123.18,85.81,87.43,90.37,99.59,176.51,176.34,179.9,179.97
142.15,72.27,70.92,105.01,124.41,67.04,74.11,90.85,81.99,176.48,175.42,178.97,168.76
153.43,69.41,68.08,111.05,131.38,33.88,56.11,87.66,79.37,176.21,175.43,168.11,167.33
11.45,62.24,50.63,111.3,126.95,35.26,36.6,85.6,72.96,177.65,173.21,31.81,36.01
82.09,48.74,57.17,96.53,134.95,37.17,39.01,100.27,68.57,178.84,171.74,30.66,33.91
16.5,54.56,36.81,105.97,118.97,31.26,41.86,91.54,83.28,176.64,174.05,32.76,35.7
31.32,59.53,28.15,107.24,117.0,33.32,43.11,89.13,72.43,176.42,175.26,32.31,36.25
34.95,53.19,42.95,103.84,123.98,37.01,44.1,91.44,74.66,178.12,170.7,30.64,31.86
13.79,63.48,55.05,106.83,123.47,41.77,51.24,88.68,77.67,176.01,174.46,171.29,179.91
144.4,72.61,66.9,108.41,123.57,54.72,61.76,89.04,85.82,173.9,174.78,169.29,169.39
130.94,77.33,73.52,110.32,126.47,77.36,79.15,88.63,91.57,174.71,178.17,177.41,42.94
115.75,79.46,73.52,107.71,124.88,85.25,76.77,89.61,95.65,177.66,176.16,176.78,176.5
115.4,80.22,73.61,108.69,123.09,76.74,77.92,89.6,90.36,176.56,175.52,179.78,179.3
116.22,79.43,74.34,108.65,122.21,76.7,76.92,89.29,90.63,176.92,174.53,179.07,178.27
116.22,79.44,74.34,108.66,122.21,76.7,76.92,89.28,90.63,177.68,174.52,178.63,178.32
116.16,79.44,74.34,108.69,122.21,76.72,77.02,89.92,89.99,177.03,174.87,178.63,179.31
116.21,79.41,74.37,108.67,121.32,76.75,80.22,90.28,85.01,177.01,174.54,178.07,178.84
117.12,78.6,75.11,109.23,122.32,80.88,79.79,89.66,90.27,177.04,175.24,179.8,179.45
117.12,78.6,75.11,109.23,122.32,80.88,79.79,89.66,90.27,177.04,175.24,179.8,179.45
