#head_JA,#r_shoulder_JA,#l_shoulder_JA,#r_upleg_JA,#l_upleg_JA,#r_elbow_JA,#l_elbow_JA,#upbody_JA,#waist_JA,#r_body_JA,#l_body_JA,#r_knee_JA,#l_knee_JA
151.12,76.42,78.59,97.51,96.4,172.61,170.52,89.54,90.39,177.02,175.6,177.33,178.7
150.54,76.84,81.4,97.86,100.83,171.3,169.22,88.42,91.46,177.34,174.32,178.6,175.52
150.41,80.31,81.39,101.51,99.95,171.12,170.71,85.31,91.08,178.2,174.72,178.76,177.51
139.99,82.55,77.65,102.69,96.3,171.61,170.69,83.07,89.93,177.76,176.17,176.86,177.94
137.09,76.37,82.61,99.15,102.57,170.1,172.24,89.96,84.1,176.22,175.24,179.72,172.73
148.53,75.99,82.55,97.34,100.14,173.6,170.57,89.54,95.64,178.11,175.64,177.2,179.42
152.09,75.94,81.68,96.93,100.72,172.23,170.11,89.59,85.08,178.11,175.0,179.34,177.55
149.05,72.14,85.15,93.05,103.4,170.66,170.42,93.4,84.39,177.9,175.98,177.92,177.19
151.26,72.7,84.87,93.94,104.57,171.74,168.76,92.61,80.21,176.42,176.71,179.51,178.68
144.49,68.23,89.29,92.65,109.22,166.66,170.78,96.97,85.38,178.63,176.02,178.82,177.52
158.52,70.22,86.33,91.25,103.1,170.06,170.85,94.28,80.77,174.04,176.17,176.89,178.42
159.58,67.02,88.95,87.83,106.06,177.35,170.19,97.14,81.07,168.37,177.71,51.08,177.39
147.57,67.46,87.27,89.32,106.33,171.62,171.29,99.03,86.38,178.52,176.29,175.27,43.4
151.8,71.63,90.03,94.18,110.83,167.3,169.01,96.97,85.81,178.44,174.7,177.06,178.21
150.03,70.03,91.53,92.52,109.12,173.77,170.28,94.56,86.71,177.52,175.42,177.25,44.07
153.07,73.97,90.42,96.24,110.49,170.25,170.24,92.16,85.75,177.57,174.41,179.99,41.39
149.82,70.04,88.33,90.56,105.87,173.31,171.54,95.53,86.05,177.39,175.03,177.61,42.17
146.68,74.06,80.72,94.94,99.84,169.91,169.76,91.8,91.35,178.03,174.24,178.63,179.69
154.1,75.17,84.2,99.16,105.73,166.28,164.81,90.32,89.64,179.72,176.76,35.53,179.96
151.44,75.37,83.59,99.08,103.82,170.82,169.59,89.78,84.74,176.01,176.02,179.59,179.53
158.6,72.87,81.23,95.93,99.46,170.72,170.78,92.62,85.4,177.0,175.83,36.53,39.21
148.3,73.58,85.47,97.96,104.43,156.48,170.56,92.66,90.92,174.37,178.06,176.87,170.77
144.17,66.17,85.68,88.01,105.39,174.93,170.7,99.37,86.33,178.1,177.24,36.19,179.5
157.2,67.38,89.56,90.34,110.15,170.93,168.68,99.54,85.85,177.23,175.15,177.02,178.98
142.22,65.92,85.63,88.45,106.49,172.87,169.52,99.62,85.82,178.36,175.39,36.17,39.9
157.95,74.73,85.0,95.78,102.32,171.92,175.22,92.54,90.53,176.14,175.26,35.86,36.84
154.4,76.54,85.79,98.28,101.47,173.21,173.58,88.32,80.59,176.69,175.71,179.51,174.99
154.86,78.01,83.85,101.41,103.23,174.3,173.57,88.6,85.49,176.99,175.85,176.41,177.22
149.01,77.97,84.74,110.16,114.55,178.35,168.95,88.3,86.12,176.99,175.04,36.34,38.85
136.68,77.64,81.77,112.26,111.98,179.04,152.65,87.65,80.61,176.14,174.44,178.25,179.58
136.94,75.58,76.68,115.38,117.22,121.46,108.76,89.61,90.38,177.14,176.36,179.79,179.56
140.08,76.3,77.94,113.3,113.24,76.28,79.57,90.06,90.07,177.48,174.86,177.09,179.18
141.24,71.62,82.25,114.83,116.64,67.21,64.13,93.21,96.49,175.72,174.78,179.99,177.79
147.92,72.45,83.71,116.75,118.53,59.64,62.43,93.1,90.41,174.83,174.64,177.41,176.28
147.93,69.57,78.1,110.21,112.63,52.37,58.74,94.86,81.09,177.29,176.9,178.97,178.54
149.76,74.23,81.5,118.27,115.58,58.94,59.46,88.23,80.86,176.72,177.56,179.45,178.85
156.25,71.3,81.58,116.85,117.36,59.63,70.03,91.86,86.27,177.62,177.83,179.46,179.32
156.27,71.02,81.62,118.39,115.59,57.88,66.99,92.12,85.98,177.49,177.86,179.47,179.35
153.45,70.63,81.65,118.44,116.52,57.96,68.56,92.45,91.09,176.42,175.53,179.59,177.36
149.61,71.13,88.89,117.61,118.7,67.17,65.88,91.65,91.86,177.14,175.99,179.47,178.91
149.33,68.23,85.78,113.35,118.19,65.12,67.98,94.91,91.98,177.09,176.8,179.98,176.4
