#head_JA,#r_shoulder_JA,#l_shoulder_JA,#r_upleg_JA,#l_upleg_JA,#r_elbow_JA,#l_elbow_JA,#upbody_JA,#waist_JA,#r_body_JA,#l_body_JA,#r_knee_JA,#l_knee_JA
128.03,76.67,75.05,118.61,122.05,54.06,72.8,89.6,90.34,176.41,176.11,33.36,36.74
134.31,82.36,73.55,120.9,124.69,59.94,69.48,85.8,90.93,177.53,175.66,32.46,35.35
125.15,81.95,72.34,122.66,127.52,58.25,67.31,87.65,93.58,178.58,175.14,32.05,35.27
132.37,78.17,72.27,126.07,137.25,42.81,43.7,88.56,91.28,176.86,175.44,33.97,36.27
140.55,76.69,75.89,123.31,155.28,19.44,17.96,89.29,95.24,177.54,173.25,33.61,35.31
156.69,67.91,72.83,106.63,147.2,11.74,1.46,97.47,81.04,175.02,173.53,176.07,36.25
120.37,23.46,83.69,117.06,156.78,17.79,5.95,90.9,87.38,176.01,174.32,176.61,179.18
134.39,21.01,72.95,104.11,142.13,43.12,19.54,93.68,88.07,178.73,173.66,177.72,179.09
141.76,25.32,70.31,106.37,131.78,46.89,39.75,90.71,87.8,177.97,174.81,177.25,179.96
138.99,29.15,62.23,106.16,126.92,52.94,46.81,88.74,86.5,177.36,174.35,178.24,179.56
142.3,29.03,63.52,106.71,124.69,55.26,43.03,88.75,86.29,178.07,174.46,176.66,173.13
137.29,29.3,60.74,105.09,130.59,51.66,46.19,88.36,86.59,176.9,174.7,176.71,178.16
140.27,22.11,69.83,103.11,132.75,46.93,33.36,93.93,77.85,177.92,174.76,177.74,177.3
133.13,21.06,74.67,107.08,144.12,30.19,16.91,93.99,82.88,178.08,173.07,178.68,34.76
120.87,17.37,85.16,107.5,162.09,23.61,5.65,97.05,72.02,175.15,174.36,176.77,36.47
150.32,73.79,77.14,107.19,152.57,15.1,2.96,91.95,80.87,176.33,174.31,34.01,36.02
136.98,77.0,76.35,122.37,155.94,22.56,19.65,89.61,90.29,176.18,173.4,33.47,34.55
132.31,78.14,76.45,124.1,139.84,39.47,48.77,88.6,86.02,176.58,174.82,33.75,36.13
129.82,81.98,73.24,120.68,125.63,60.0,70.98,86.55,95.55,175.65,174.77,33.31,34.31
132.3,81.23,76.43,119.15,127.02,61.45,71.1,86.54,90.3,175.28,175.64,33.54,35.46
131.01,80.91,76.42,120.73,128.21,52.56,67.42,86.24,95.92,176.0,176.1,33.53,36.54
129.05,80.04,77.16,120.61,128.19,52.73,69.47,85.71,91.32,175.56,176.09,33.85,36.44
