#head_JA,#r_shoulder_JA,#l_shoulder_JA,#r_upleg_JA,#l_upleg_JA,#r_elbow_JA,#l_elbow_JA,#upbody_JA,#waist_JA,#r_body_JA,#l_body_JA,#r_knee_JA,#l_knee_JA
117.94,80.93,69.44,120.18,133.31,53.76,47.55,85.56,96.29,176.82,174.45,178.89,173.41
110.73,80.87,69.57,120.05,132.6,53.43,45.81,86.27,90.71,175.64,172.85,179.75,176.6
110.82,77.85,69.02,125.68,134.58,51.96,48.88,89.58,94.92,176.89,172.56,34.27,34.43
111.78,76.73,72.45,125.35,136.64,52.43,42.54,89.37,90.69,176.37,172.45,34.86,179.75
103.02,73.6,76.76,124.12,148.75,30.93,20.94,92.07,91.02,176.43,171.68,34.46,179.13
105.92,76.46,78.67,99.3,102.79,13.88,16.56,88.99,90.94,172.86,174.97,178.74,174.6
99.86,82.73,73.67,121.31,123.9,177.58,169.27,85.71,91.4,174.94,173.1,34.04,36.52
102.18,80.04,75.53,108.48,111.29,178.86,166.17,89.36,86.22,176.71,174.99,32.08,35.82
108.23,84.09,73.93,105.42,102.79,173.3,165.11,87.64,89.39,175.41,176.04,32.8,36.0
112.55,83.46,76.47,101.99,102.7,169.75,164.39,86.74,90.34,175.61,174.83,33.01,35.82
119.98,80.51,79.93,98.41,104.22,170.36,166.52,89.09,90.98,176.57,175.37,32.1,35.31
134.15,77.53,80.66,99.31,105.6,166.26,163.98,90.8,91.9,176.96,172.79,32.67,35.19
134.25,79.62,77.97,105.76,110.07,155.62,153.28,88.99,86.8,176.39,175.01,32.44,35.92
136.26,77.36,79.82,104.47,113.53,154.15,152.89,91.91,86.74,177.34,172.54,32.69,36.15
146.27,77.07,75.77,105.02,107.46,157.56,156.69,92.11,90.63,176.03,174.59,33.6,36.79
146.09,78.56,77.57,104.69,107.23,154.16,157.52,91.94,83.06,173.62,178.43,33.78,36.86
149.79,72.11,78.41,99.77,107.51,153.67,155.97,95.56,87.94,179.18,169.8,25.71,29.78
152.2,74.03,76.6,102.45,107.75,150.39,157.98,94.14,94.59,29.15,41.47,0.0,0.0
150.52,78.86,79.75,105.08,112.05,152.86,153.09,90.06,104.79,25.97,39.61,0.0,0.0
147.57,78.07,75.34,104.67,107.68,127.18,154.22,91.81,99.27,24.79,37.83,0.0,0.0
150.22,79.43,75.68,108.1,105.63,153.52,155.81,89.26,100.15,172.36,171.21,26.29,24.48
149.41,79.64,73.78,106.0,108.35,158.04,152.33,88.94,107.24,25.05,37.62,0.0,0.0
148.08,81.1,79.02,104.73,111.58,161.84,154.72,89.34,101.06,173.36,173.79,25.62,26.28
147.22,76.57,78.31,100.32,107.92,165.28,158.09,92.58,90.0,175.27,170.38,26.26,25.99
139.11,72.9,81.16,100.09,110.08,163.74,160.22,94.1,87.62,28.97,40.38,0.0,0.0
137.24,75.43,77.32,103.26,107.27,164.04,160.08,91.04,91.61,171.17,41.14,31.34,0.0
135.89,81.3,78.89,106.5,106.54,167.31,165.39,87.22,94.23,27.49,173.16,0.0,27.64
131.97,84.02,74.9,113.22,106.62,142.32,145.4,84.94,94.13,155.58,42.02,46.47,0.0
141.58,81.26,76.82,108.44,104.83,143.49,147.83,87.28,90.0,26.46,40.59,0.0,0.0
138.96,80.88,79.17,112.86,108.13,141.82,151.05,87.06,90.36,26.64,40.46,0.0,0.0
134.99,81.6,75.5,105.84,105.88,157.02,146.0,87.4,94.24,25.02,38.06,0.0,0.0
135.05,79.16,81.03,104.18,109.13,144.65,145.84,88.71,91.36,25.97,39.41,0.0,0.0
131.97,79.04,78.23,106.38,106.6,146.81,149.17,89.3,94.72,25.95,38.66,0.0,0.0
144.85,79.03,74.8,107.79,106.67,144.62,144.86,89.31,94.6,25.86,37.04,0.0,0.0
147.53,78.04,76.88,107.77,107.81,147.12,147.75,89.39,97.84,25.71,36.45,0.0,0.0
149.53,77.7,79.52,108.72,109.81,146.92,146.82,88.25,95.67,26.56,37.49,0.0,0.0
149.44,77.9,75.93,108.42,107.8,147.31,146.87,88.52,95.1,26.52,36.14,0.0,0.0
152.05,77.78,79.32,108.28,110.2,147.3,146.16,88.0,102.47,27.08,37.58,0.0,0.0
153.3,78.09,79.33,109.37,111.14,146.53,145.64,87.98,95.89,27.01,37.27,0.0,0.0
153.34,78.39,79.31,108.97,111.12,146.16,145.63,88.53,95.34,26.7,37.3,0.0,0.0
152.05,78.43,76.94,108.38,108.46,147.55,146.57,87.58,99.59,27.51,37.94,0.0,0.0
148.96,78.56,76.77,108.72,108.65,146.55,146.47,88.1,102.97,26.73,37.06,0.0,0.0
144.82,75.95,74.46,104.81,105.94,147.31,146.32,90.76,95.48,26.39,36.37,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
