#head_JA,#r_shoulder_JA,#l_shoulder_JA,#r_upleg_JA,#l_upleg_JA,#r_elbow_JA,#l_elbow_JA,#upbody_JA,#waist_JA,#r_body_JA,#l_body_JA,#r_knee_JA,#l_knee_JA
138.22,78.02,61.86,128.66,122.55,51.42,57.49,91.27,96.44,175.7,177.86,179.4,179.97
133.94,78.02,61.27,126.89,120.71,53.28,55.39,91.3,96.49,175.55,177.83,179.97,179.37
134.19,86.61,58.8,110.5,109.86,46.02,59.9,83.1,95.82,174.83,178.08,178.74,179.96
141.1,78.16,68.3,127.38,125.8,52.57,59.18,90.93,96.74,175.37,178.03,180.0,179.41
138.73,76.62,69.57,129.34,126.14,60.02,62.53,92.23,94.04,176.69,178.68,176.68,178.79
142.35,77.58,67.95,127.34,128.93,55.87,49.65,90.05,89.95,178.3,177.34,179.45,177.36
146.37,81.16,73.02,132.64,140.62,58.37,57.11,85.92,96.65,177.71,177.57,179.87,177.56
143.67,77.04,65.06,132.91,126.09,60.47,63.08,90.26,89.62,179.19,175.84,178.98,179.94
142.8,81.23,73.57,137.64,138.06,58.35,56.77,86.63,94.88,176.71,179.98,177.46,179.61
144.57,77.23,75.63,126.63,140.73,56.65,60.37,89.9,90.05,175.96,174.71,172.04,175.31
151.08,69.54,78.44,127.55,131.66,33.45,69.99,92.61,77.52,175.57,175.31,178.76,178.83
141.51,74.57,79.88,130.54,129.55,65.31,71.86,89.37,79.09,177.73,174.7,179.91,176.93
161.14,74.25,76.24,132.25,127.72,58.25,70.91,89.28,85.29,177.82,178.12,178.73,179.21
148.39,68.57,73.5,119.16,122.95,64.71,72.79,97.33,90.34,176.51,175.6,176.12,178.25
148.3,76.29,77.14,122.05,128.45,81.76,74.95,90.05,84.8,175.62,176.01,176.04,178.04
149.5,76.0,75.04,122.46,123.58,67.45,76.67,90.32,89.57,175.45,177.7,177.68,177.76
146.23,76.3,73.67,124.74,130.47,61.88,69.35,89.62,90.44,177.79,175.9,175.36,177.68
146.27,72.07,69.28,118.38,122.73,64.04,72.66,92.76,90.8,178.86,177.06,179.22,176.78
150.1,73.15,69.19,118.23,124.88,75.53,75.16,93.21,85.48,179.74,177.03,179.09,176.61
151.86,76.52,77.12,123.35,125.78,68.36,75.22,89.7,90.37,178.34,174.61,178.22,175.42
150.24,72.8,73.55,121.0,127.22,58.55,74.81,93.51,90.03,177.1,176.24,177.51,176.09
150.26,76.29,77.04,120.76,127.74,62.38,75.48,90.03,90.0,176.33,175.47,177.37,176.02
148.43,76.63,77.47,122.06,120.87,57.84,72.28,90.02,95.81,175.47,174.78,176.54,176.04
148.44,76.62,77.48,122.06,120.88,57.87,72.28,90.03,90.05,175.41,174.71,176.54,176.04
148.44,76.62,77.48,122.06,120.88,57.87,72.28,90.03,90.05,175.41,174.71,176.54,176.04
