#head_JA,#r_shoulder_JA,#l_shoulder_JA,#r_upleg_JA,#l_upleg_JA,#r_elbow_JA,#l_elbow_JA,#upbody_JA,#waist_JA,#r_body_JA,#l_body_JA,#r_knee_JA,#l_knee_JA
135.69,84.76,73.94,102.65,94.29,171.42,161.15,84.92,89.69,24.07,35.14,0.0,0.0
135.41,84.64,73.97,103.02,94.14,171.13,160.52,84.79,93.75,24.19,34.81,0.0,0.0
135.58,87.25,78.67,106.23,99.05,159.55,161.76,82.2,89.72,24.3,35.55,0.0,0.0
133.29,82.31,75.83,100.83,96.15,160.64,160.22,87.34,93.72,25.04,35.76,0.0,0.0
129.87,79.42,78.95,97.17,99.63,165.05,159.74,89.65,90.31,24.89,35.67,0.0,0.0
129.75,79.08,77.07,96.82,97.02,159.86,160.63,89.92,90.03,24.16,35.64,0.0,0.0
125.41,81.93,82.1,99.27,101.07,160.63,160.57,87.43,93.94,24.71,35.62,0.0,0.0
127.45,76.6,79.15,95.15,97.31,160.91,162.5,91.05,95.86,179.07,39.2,23.55,0.0
127.82,82.55,76.85,99.1,96.39,160.35,159.17,86.84,90.59,175.68,39.0,25.57,0.0
131.46,84.65,76.44,108.07,102.37,164.69,168.52,84.96,89.99,174.96,38.62,26.11,0.0
136.92,82.6,78.09,101.81,100.23,171.91,173.77,86.72,86.41,171.0,40.94,29.8,0.0
138.23,82.2,76.51,97.25,92.73,174.41,177.04,86.48,82.18,26.9,40.2,0.0,0.0
142.91,79.64,76.5,95.21,93.99,177.98,173.36,89.01,81.84,175.42,173.51,25.7,28.6
140.47,78.95,75.81,107.98,103.37,157.65,161.73,89.31,90.7,174.57,171.63,26.64,26.82
138.82,78.23,78.23,109.44,103.37,150.49,162.46,89.73,90.31,173.59,38.65,27.92,0.0
146.49,82.05,76.22,106.72,103.21,156.28,162.37,89.8,99.5,22.96,171.42,0.0,23.07
141.06,83.43,67.61,106.74,93.54,159.37,162.14,86.4,100.5,175.56,36.56,22.99,0.0
131.64,86.84,70.88,111.91,107.2,157.23,156.03,82.71,100.73,177.22,36.83,22.8,0.0
137.68,83.66,68.07,108.08,100.15,160.19,156.13,84.9,105.58,174.67,37.85,25.65,0.0
149.15,77.74,79.96,104.27,109.61,156.94,156.64,89.13,90.88,170.66,39.57,30.45,0.0
150.72,74.08,86.67,101.24,108.84,156.47,167.37,92.45,92.58,175.46,172.69,29.01,30.7
152.2,71.58,88.18,97.14,110.23,163.2,175.87,93.71,82.42,175.15,47.59,32.2,0.0
155.73,71.01,91.95,96.24,112.63,165.97,178.77,93.91,79.17,179.7,171.72,30.21,33.34
152.38,63.76,80.92,86.51,99.7,164.39,178.51,103.08,85.85,37.56,47.02,0.0,0.0
152.1,74.07,88.45,94.79,109.18,169.69,175.15,92.8,85.7,37.97,47.83,0.0,0.0
152.05,74.4,82.29,97.48,100.53,165.82,174.8,91.06,91.66,36.06,46.31,0.0,0.0
148.19,78.63,81.92,107.72,105.61,175.32,174.95,88.07,84.24,179.2,170.65,27.88,31.04
148.5,79.32,81.89,107.76,104.89,175.95,172.73,87.96,92.06,178.08,173.29,30.63,35.29
134.24,78.05,77.16,110.67,113.17,141.37,136.95,90.24,89.65,176.72,173.09,178.42,178.81
127.08,79.01,72.77,130.55,127.05,52.32,33.87,87.21,95.33,173.76,176.48,36.48,36.97
116.09,76.0,76.11,131.29,143.11,33.94,31.78,90.95,87.39,178.02,173.85,33.33,37.42
104.04,78.92,79.08,138.3,94.98,4.59,50.27,87.77,87.68,176.57,173.2,33.78,36.76
110.85,85.69,71.66,142.95,140.79,33.33,99.25,83.26,89.37,177.72,176.47,34.36,36.9
127.11,76.51,70.74,129.39,127.4,42.22,47.79,89.38,90.64,178.58,175.63,32.99,35.02
141.79,76.63,77.31,125.26,131.44,50.73,128.84,91.49,93.02,178.76,175.75,30.63,35.14
150.76,75.12,77.66,124.86,130.04,57.36,125.38,91.83,92.55,178.66,176.31,30.43,35.32
148.12,75.14,76.93,123.36,130.06,58.81,129.01,90.81,97.42,178.5,175.92,31.27,34.84
149.7,78.59,77.31,126.42,128.39,58.77,65.1,87.19,93.96,179.91,175.45,29.7,178.51
151.31,78.92,76.58,125.68,128.4,57.52,65.09,88.15,93.34,177.97,175.39,30.58,179.35
148.66,76.27,74.15,122.73,125.35,59.5,65.11,91.71,92.59,177.67,176.13,30.5,178.74
