#head_JA,#r_shoulder_JA,#l_shoulder_JA,#r_upleg_JA,#l_upleg_JA,#r_elbow_JA,#l_elbow_JA,#upbody_JA,#waist_JA,#r_body_JA,#l_body_JA,#r_knee_JA,#l_knee_JA
137.69,81.77,78.38,99.67,98.82,169.33,170.5,87.44,89.73,26.02,37.5,0.0,0.0
137.71,81.74,78.39,99.77,98.68,170.33,170.16,87.46,89.71,25.98,37.13,0.0,0.0
139.96,81.71,78.39,99.01,99.52,169.73,169.83,87.5,93.73,25.72,37.2,0.0,0.0
138.01,81.72,76.48,99.96,96.68,169.58,168.07,87.51,89.73,25.67,36.57,0.0,0.0
129.41,81.82,76.45,101.3,98.13,163.58,166.24,87.42,85.3,25.73,37.13,0.0,0.0
123.95,83.84,76.25,108.93,97.96,171.96,175.28,86.08,92.32,25.4,37.0,0.0,0.0
107.5,88.1,75.88,118.85,109.68,178.98,173.61,80.76,88.66,25.69,37.22,0.0,0.0
101.05,80.81,75.62,116.52,116.34,172.53,175.98,87.46,94.2,179.16,169.63,22.89,23.83
96.31,77.8,75.21,118.02,124.24,147.51,142.49,90.9,94.27,175.49,169.09,25.62,22.93
91.58,87.22,65.59,122.64,130.74,64.2,74.76,84.92,96.83,179.73,170.21,22.88,21.99
96.95,86.66,66.41,121.03,123.96,58.38,55.64,84.89,92.53,178.6,170.81,21.67,22.27
104.34,88.22,67.04,126.09,122.05,52.45,51.17,81.33,93.39,179.9,171.55,23.03,22.8
93.92,87.61,64.07,123.29,118.78,64.31,53.44,81.06,99.05,178.6,172.86,23.85,24.8
130.85,80.72,62.56,115.61,117.41,55.57,46.87,87.17,89.61,141.49,169.44,144.41,22.72
130.19,80.67,59.91,117.69,124.19,42.88,39.35,83.99,89.7,27.46,35.83,0.0,0.0
125.13,71.0,65.05,110.78,125.44,38.06,33.58,88.81,87.22,27.94,37.25,0.0,0.0
1.33,59.26,62.18,107.55,122.43,36.55,35.09,90.8,83.84,28.94,37.88,0.0,0.0
12.83,62.04,54.47,109.64,122.41,37.36,37.06,88.0,88.09,29.1,37.53,0.0,0.0
18.53,58.79,44.77,109.16,122.45,36.13,35.09,87.97,84.14,29.56,37.59,0.0,0.0
15.29,58.83,44.67,110.32,121.71,36.64,33.9,88.59,87.49,28.93,37.41,0.0,0.0
15.37,60.5,56.7,106.99,122.48,37.14,35.12,90.94,83.81,29.25,37.88,0.0,0.0
102.61,64.15,60.68,108.09,120.94,39.32,29.74,91.39,91.51,28.26,37.54,0.0,0.0
140.14,72.52,66.09,110.65,123.2,38.56,35.03,89.5,86.77,27.88,37.01,0.0,0.0
136.25,76.2,70.33,111.86,126.28,51.35,35.32,90.19,89.65,27.37,36.49,0.0,0.0
123.99,83.72,64.33,120.87,120.94,61.18,48.77,83.81,94.05,179.37,169.21,22.88,21.68
105.4,85.86,64.65,118.54,119.17,63.28,59.29,84.77,88.84,179.71,170.45,22.71,22.52
100.17,84.06,64.52,119.96,117.54,59.76,57.89,84.44,94.07,178.39,170.63,23.78,22.48
