#head_JA,#r_shoulder_JA,#l_shoulder_JA,#r_upleg_JA,#l_upleg_JA,#r_elbow_JA,#l_elbow_JA,#upbody_JA,#waist_JA,#r_body_JA,#l_body_JA,#r_knee_JA,#l_knee_JA
40.79,2.28,4.61,91.42,111.06,142.22,148.04,91.69,104.55,174.13,172.02,29.51,143.2
40.79,2.28,4.6,91.42,111.07,141.44,148.04,91.69,100.13,174.14,172.19,29.51,143.18
40.87,4.76,12.45,93.86,110.9,140.27,147.0,89.27,90.99,172.9,173.23,28.86,34.64
40.87,4.77,12.44,93.94,110.9,141.2,147.0,89.26,95.75,172.9,173.28,28.87,34.77
40.87,4.76,12.45,93.93,110.91,141.2,146.99,89.26,95.75,172.9,173.28,28.87,34.78
40.99,4.72,19.21,94.55,112.09,141.74,146.78,88.56,86.53,174.38,174.26,28.1,32.14
40.99,4.72,19.22,94.56,112.08,141.74,146.79,88.56,86.53,174.38,173.91,28.09,31.93
40.99,4.73,19.19,94.55,112.08,141.74,146.78,88.56,86.53,174.38,174.26,28.03,32.14
40.99,4.72,19.22,94.56,112.08,141.74,146.79,88.56,86.53,174.38,173.91,28.09,31.93
40.99,4.72,19.21,94.55,112.09,141.74,146.78,88.56,86.53,174.38,174.26,28.1,32.14
40.99,4.72,19.21,94.55,112.09,141.74,146.78,88.56,86.53,174.38,174.26,28.1,32.14
40.99,4.72,19.22,94.56,112.08,141.74,146.79,88.56,86.53,174.38,173.91,28.09,31.93
40.99,4.73,19.19,94.55,112.08,141.74,146.78,88.56,86.53,174.38,174.26,28.03,32.14
40.99,4.73,19.19,94.55,112.08,141.74,146.78,88.56,86.53,174.38,174.26,28.03,32.14
