#head_JA,#r_shoulder_JA,#l_shoulder_JA,#r_upleg_JA,#l_upleg_JA,#r_elbow_JA,#l_elbow_JA,#upbody_JA,#waist_JA,#r_body_JA,#l_body_JA,#r_knee_JA,#l_knee_JA
120.06,77.32,77.17,94.41,98.05,158.87,160.44,91.84,94.93,25.65,35.65,0.0,0.0
121.09,76.81,79.02,93.14,98.18,160.16,156.98,92.57,98.1,24.82,35.7,0.0,0.0
123.03,79.2,81.99,96.42,101.94,164.8,165.25,89.71,102.27,24.66,35.76,0.0,0.0
121.13,81.91,79.35,104.37,104.84,171.34,166.9,87.16,97.08,25.91,36.59,0.0,0.0
111.75,78.96,76.06,116.74,116.49,173.85,174.29,89.97,99.12,25.55,167.31,0.0,21.99
101.35,80.45,74.93,123.7,122.79,156.02,154.88,87.57,94.32,151.69,158.69,162.56,16.57
93.03,82.44,64.01,120.98,121.27,80.02,86.78,87.97,94.41,177.59,168.51,23.81,21.94
92.17,87.68,65.3,127.96,126.11,56.99,53.23,82.17,95.93,171.2,165.59,31.25,19.88
89.82,92.56,64.48,129.72,128.56,50.69,47.01,78.52,101.04,168.99,168.15,33.17,21.55
93.74,81.93,61.56,118.38,119.18,62.68,49.23,87.02,94.28,167.3,168.22,33.97,21.75
120.22,81.1,71.98,121.54,130.57,55.22,46.04,86.78,104.77,178.3,169.57,24.05,23.1
130.17,77.9,68.67,117.5,128.8,43.44,27.58,87.25,95.0,176.16,171.43,25.36,24.67
110.77,72.37,59.47,111.6,126.34,27.97,15.61,90.06,80.03,134.37,167.88,142.67,23.24
62.97,68.6,50.66,108.59,123.85,27.7,17.62,92.01,82.03,146.39,161.75,154.61,177.27
47.8,70.97,53.47,111.58,126.82,30.46,16.01,89.68,85.76,114.07,168.04,121.89,23.51
132.15,78.36,60.06,109.68,118.33,47.28,37.49,88.93,86.48,173.44,167.52,28.68,22.86
131.49,83.33,72.07,113.09,124.48,65.87,69.09,84.0,85.7,169.82,171.05,31.59,25.05
123.88,80.73,76.39,107.68,123.9,72.75,74.0,86.76,99.93,175.27,171.48,26.34,26.11
109.16,78.36,73.02,104.04,121.78,76.17,73.76,90.11,94.05,175.66,37.74,26.28,0.0
113.56,81.22,76.38,109.21,124.68,73.86,70.88,87.25,94.77,174.42,168.76,26.84,23.08
125.01,81.61,67.78,107.34,116.65,61.23,60.04,87.0,94.37,172.18,169.38,29.09,23.55
136.71,80.29,65.81,108.4,123.17,53.49,42.44,89.65,81.89,172.24,37.65,29.64,0.0
97.73,76.66,58.49,107.85,120.16,39.83,24.48,90.09,85.59,134.74,167.52,146.14,23.83
57.8,67.56,52.42,104.72,122.54,26.27,8.15,92.24,91.23,169.27,167.73,33.75,23.78
51.17,74.07,49.35,109.53,125.69,28.64,26.76,90.15,89.94,149.66,168.74,56.14,24.27
132.57,77.64,63.51,104.0,127.55,47.22,37.05,92.66,90.42,27.3,38.46,0.0,0.0
131.22,83.18,65.7,109.05,119.51,57.82,67.97,83.68,90.63,172.32,37.87,28.71,0.0
129.12,89.05,71.58,112.05,122.42,68.67,79.03,80.26,90.41,175.49,173.47,26.22,27.29
129.65,78.0,77.16,103.23,109.34,136.49,143.1,88.36,91.53,25.93,36.73,0.0,0.0
136.83,80.35,74.61,108.48,110.07,167.04,172.08,89.27,94.42,26.02,35.98,0.0,0.0
136.24,82.96,71.05,105.12,105.98,173.55,178.53,84.86,87.73,26.95,38.69,0.0,0.0
130.78,87.26,62.19,98.18,94.08,167.66,168.47,77.05,103.1,25.93,153.89,0.0,9.55
97.86,76.19,52.29,99.22,88.33,160.71,160.97,80.42,87.89,167.82,174.76,34.62,31.06
7.31,66.62,54.2,97.54,101.52,153.2,156.5,88.2,82.68,25.5,38.19,0.0,0.0
12.91,9.42,22.01,103.24,104.66,129.05,143.22,90.58,79.87,21.25,39.19,0.0,0.0
12.01,78.45,53.35,95.82,125.18,101.66,107.06,41.82,0.0,0.0,0.0,0.0,0.0
0.0,4.55,143.51,175.24,140.4,0.0,90.87,4.55,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
