#head_JA,#r_shoulder_JA,#l_shoulder_JA,#r_upleg_JA,#l_upleg_JA,#r_elbow_JA,#l_elbow_JA,#upbody_JA,#waist_JA,#r_body_JA,#l_body_JA,#r_knee_JA,#l_knee_JA
139.41,77.33,77.12,130.05,124.68,63.79,58.59,85.89,90.14,176.4,176.85,177.99,177.98
135.56,73.33,68.46,127.3,124.32,65.67,71.21,90.36,96.22,179.2,177.04,178.1,176.96
141.51,75.48,70.55,118.24,122.72,68.32,71.0,89.91,90.01,179.41,173.86,174.75,175.19
147.79,80.93,66.54,130.91,119.38,56.29,70.03,86.38,89.44,173.99,178.89,176.52,179.41
138.38,74.83,76.78,126.47,127.78,75.42,73.27,89.12,90.7,176.27,175.68,175.64,179.45
142.16,76.57,77.08,120.6,131.15,65.4,68.2,89.58,90.35,176.1,176.4,179.51,178.89
154.63,76.46,71.4,121.77,118.84,69.35,73.1,89.97,95.55,177.89,176.84,179.77,176.39
149.82,75.06,74.3,124.94,118.4,71.8,77.18,90.06,90.05,175.87,176.3,179.5,176.57
160.45,71.72,78.13,118.61,105.46,67.3,74.13,92.99,90.03,177.23,175.05,179.79,173.6
159.36,75.07,80.23,122.52,118.11,68.56,77.16,90.12,95.18,175.24,176.21,178.33,175.4
159.29,72.31,80.55,117.19,107.54,68.64,72.63,93.58,89.71,177.12,175.2,179.66,173.16
159.08,75.08,76.89,118.25,116.01,68.27,75.97,90.38,89.62,176.63,177.05,178.08,175.13
156.94,73.05,84.97,119.2,105.31,66.97,63.46,90.09,89.95,177.05,175.85,179.6,174.94
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
