#head_JA,#r_shoulder_JA,#l_shoulder_JA,#r_upleg_JA,#l_upleg_JA,#r_elbow_JA,#l_elbow_JA,#upbody_JA,#waist_JA,#r_body_JA,#l_body_JA,#r_knee_JA,#l_knee_JA
126.97,85.74,64.67,120.38,114.9,63.45,78.84,84.68,88.96,177.36,177.6,178.21,177.41
124.41,87.88,69.61,125.83,122.42,71.32,80.58,82.29,88.28,177.59,176.2,177.59,179.9
125.94,85.19,72.29,122.06,129.11,61.92,64.97,83.67,85.49,177.08,175.1,31.98,34.34
126.85,80.85,68.98,120.48,135.76,52.31,52.27,87.32,94.27,177.06,174.09,32.0,178.89
126.91,74.78,73.11,112.41,147.77,33.77,27.09,90.33,87.2,174.71,172.82,36.37,37.87
142.29,72.66,68.17,105.27,135.08,39.75,17.68,91.26,82.6,176.17,174.08,34.6,35.47
134.1,74.86,64.01,87.95,118.9,53.93,58.22,90.24,81.52,177.14,174.27,179.45,176.18
137.66,69.5,60.3,86.93,109.75,61.37,85.02,92.39,87.76,177.55,170.63,178.75,178.3
126.37,75.48,61.56,94.75,113.69,79.78,106.59,86.8,87.88,176.97,170.95,179.31,178.1
126.35,75.47,57.78,92.6,109.09,87.52,113.98,87.79,87.21,175.7,172.43,179.44,176.97
128.55,76.06,52.33,90.83,101.54,85.96,109.4,87.84,92.15,174.52,171.07,177.07,178.72
127.64,73.73,53.29,87.84,101.43,86.08,108.25,90.82,87.13,175.4,171.95,178.53,178.22
128.61,75.99,56.12,90.75,104.94,83.13,109.96,87.84,87.42,175.11,171.65,176.87,179.56
121.85,75.5,57.87,93.44,109.24,77.44,113.95,88.93,91.08,175.38,170.9,178.46,177.86
128.84,76.0,62.7,92.98,114.8,75.07,91.28,87.2,87.55,177.43,171.21,178.24,177.53
137.18,75.72,68.1,93.87,120.79,59.59,68.35,86.65,77.06,177.82,171.36,180.0,178.9
132.59,76.13,71.33,98.56,152.29,38.98,6.24,91.77,86.64,177.44,174.23,177.41,179.57
136.65,73.74,72.7,108.07,150.12,35.77,13.31,90.73,92.15,173.03,168.01,38.29,31.74
130.51,77.74,69.85,115.24,133.8,90.29,54.74,88.65,91.4,176.03,172.25,33.63,35.27
124.28,83.97,72.59,122.33,127.38,64.1,64.62,84.18,93.77,178.88,176.11,31.68,36.56
125.81,85.48,70.18,121.92,122.64,64.42,74.18,84.63,89.0,174.5,177.63,34.1,37.5
120.96,88.51,67.44,122.49,119.02,78.43,75.8,81.72,88.68,179.03,174.67,179.2,34.98
120.97,88.52,67.43,122.5,119.01,78.43,75.8,81.71,88.69,179.03,175.08,179.19,35.31
