#head_JA,#r_shoulder_JA,#l_shoulder_JA,#r_upleg_JA,#l_upleg_JA,#r_elbow_JA,#l_elbow_JA,#upbody_JA,#waist_JA,#r_body_JA,#l_body_JA,#r_knee_JA,#l_knee_JA
12.92,71.54,83.07,91.42,93.12,161.76,43.17,94.44,91.21,177.05,175.32,177.11,178.65
13.29,72.09,89.27,89.79,97.18,161.11,41.49,93.87,91.36,176.63,175.29,176.83,178.94
13.04,68.24,87.34,89.36,95.22,159.07,42.59,96.96,91.05,176.41,174.33,177.41,176.58
12.95,71.69,83.74,90.54,93.18,160.65,43.57,93.93,91.55,176.73,176.81,177.53,179.56
12.0,70.28,84.95,92.98,97.22,158.92,45.11,95.41,90.46,176.96,176.42,177.53,179.36
12.04,69.48,92.26,89.5,100.94,163.78,39.85,95.0,85.94,177.16,173.45,176.81,177.5
11.45,71.19,80.76,104.7,95.76,150.71,46.06,93.09,90.02,174.76,177.39,178.88,178.71
11.31,75.15,81.85,103.85,97.91,155.99,85.19,90.05,89.99,177.29,174.91,179.78,176.73
11.05,72.05,80.0,98.65,96.73,157.91,48.23,93.53,89.58,177.21,178.83,179.19,178.21
8.91,77.74,74.89,105.88,109.46,156.65,144.27,87.39,89.29,176.14,178.74,177.74,179.11
9.34,80.09,71.91,105.96,106.33,156.53,150.2,88.43,93.56,175.28,177.58,179.86,177.53
10.27,73.18,81.3,101.92,98.22,158.41,47.77,89.78,90.4,176.88,175.49,179.92,178.22
10.3,73.13,88.98,101.35,102.11,159.62,43.91,89.44,90.66,175.65,176.92,178.75,177.86
9.48,73.24,82.38,99.53,98.26,160.47,47.93,89.98,95.75,176.76,176.9,179.47,179.71
8.46,76.58,77.08,102.15,104.94,158.17,158.11,90.46,89.65,178.59,176.64,179.13,179.56
9.46,64.48,86.74,91.63,100.83,157.1,151.6,99.46,90.86,178.0,176.42,179.56,178.99
9.96,69.95,85.04,98.18,97.26,159.66,172.78,92.98,90.42,176.39,177.05,179.92,179.29
9.82,70.75,84.64,101.28,94.89,154.61,172.39,93.03,90.46,175.74,173.8,179.44,179.44
8.65,69.79,84.82,110.78,94.11,147.96,168.66,90.11,90.05,178.91,177.06,175.57,178.98
8.5,68.9,86.52,119.48,90.02,139.77,46.73,90.34,95.79,175.08,176.96,179.38,179.98
8.16,66.22,82.51,121.77,90.82,142.91,54.46,91.57,108.69,171.48,179.33,178.9,177.6
125.72,71.3,79.59,127.91,87.13,24.92,136.95,88.08,93.66,174.05,174.85,178.71,176.55
115.75,64.93,23.59,126.26,155.4,51.63,0.0,92.42,95.68,174.67,178.93,178.94,178.67
103.39,101.21,6.01,170.34,173.84,108.29,0.0,57.45,145.77,166.05,173.84,174.49,174.45
96.85,160.81,61.34,141.39,118.42,127.9,0.0,6.14,158.16,171.66,176.97,177.07,177.86
98.64,148.5,91.53,94.81,88.16,122.01,0.0,42.85,137.73,178.48,175.25,178.96,177.39
88.41,101.5,153.34,62.7,26.15,120.55,0.0,84.43,109.67,176.79,173.59,177.48,172.31
101.28,97.58,161.87,69.38,17.57,104.52,0.0,85.98,83.36,179.03,172.98,179.97,179.83
101.97,96.42,160.88,71.54,18.41,108.1,0.0,89.44,90.8,179.97,176.48,175.7,179.4
127.62,83.59,69.01,81.72,101.33,80.99,23.46,91.78,95.93,176.93,177.99,178.43,176.7
134.67,81.62,72.28,101.42,131.83,84.35,64.74,90.13,83.39,177.35,176.24,177.9,178.68
124.67,84.45,63.96,113.9,125.42,79.47,60.71,87.35,88.3,174.64,176.36,175.31,179.35
131.89,80.57,69.33,116.86,130.85,84.03,70.14,85.96,90.04,176.85,176.4,179.42,179.94
152.59,77.96,73.06,111.36,128.27,77.72,73.36,90.06,89.97,175.75,177.52,177.09,178.99
146.95,80.4,73.64,118.26,129.96,74.0,71.16,86.75,89.73,174.89,176.32,179.99,177.57
140.34,77.4,66.0,112.51,121.37,73.69,77.05,90.2,101.98,175.93,176.06,177.75,178.87
132.41,83.73,73.68,120.68,135.27,78.58,71.15,88.1,88.05,173.87,178.24,179.99,176.84
141.64,82.82,69.64,118.65,127.92,81.78,77.87,85.46,96.91,175.71,176.81,176.8,179.97
144.84,75.67,75.15,116.05,127.09,73.24,73.48,90.05,89.98,173.86,176.95,179.45,178.39
147.07,72.17,75.78,110.61,118.11,69.1,83.45,93.82,89.75,175.22,176.09,179.39,179.21
152.0,77.5,76.58,114.91,125.17,70.87,84.62,90.83,94.61,175.57,178.44,178.32,179.7
145.16,75.27,75.23,114.92,123.25,73.82,86.67,90.04,90.12,175.58,175.23,174.98,177.32
146.97,75.33,75.04,114.06,129.91,72.22,86.84,90.36,95.54,176.1,176.76,176.85,177.43
146.9,75.35,71.7,114.09,124.48,75.21,87.77,89.93,95.94,176.07,177.81,176.67,177.82
147.0,75.36,71.7,114.16,124.43,69.05,76.16,90.29,89.71,175.11,177.31,177.25,177.82
140.26,76.39,71.85,113.03,124.7,73.36,79.95,90.67,95.11,175.3,176.83,176.65,177.92
145.43,76.78,73.52,111.94,125.66,77.6,70.07,90.64,95.15,175.32,177.68,176.84,177.91
152.37,77.67,76.44,111.97,131.07,71.49,76.72,90.26,89.83,177.8,176.35,176.95,177.43
152.33,77.68,77.28,111.97,129.93,71.45,79.88,90.66,95.14,176.89,177.37,176.91,177.47
