#head_JA,#r_shoulder_JA,#l_shoulder_JA,#r_upleg_JA,#l_upleg_JA,#r_elbow_JA,#l_elbow_JA,#upbody_JA,#waist_JA,#r_body_JA,#l_body_JA,#r_knee_JA,#l_knee_JA
145.13,83.56,64.94,126.7,124.69,64.37,70.45,85.88,97.19,174.8,176.9,177.57,178.77
145.07,83.65,60.81,126.81,120.41,64.35,73.37,86.23,96.79,174.29,176.87,178.2,179.32
142.67,82.59,61.34,126.81,117.63,64.23,74.48,85.76,89.66,176.47,176.45,180.0,177.54
143.71,81.4,61.74,123.95,118.42,63.85,70.59,86.0,89.64,176.03,176.3,179.37,177.57
145.05,83.81,60.8,128.25,120.5,60.03,72.54,85.6,89.65,175.74,177.47,178.78,179.29
149.36,78.4,67.07,122.08,123.36,61.28,73.08,91.24,95.33,176.07,177.27,179.4,179.38
139.02,75.68,71.46,126.38,104.32,60.02,57.26,90.45,89.46,175.88,177.06,178.18,179.28
150.71,87.51,60.82,106.41,117.85,56.3,75.73,81.44,88.56,173.68,178.28,40.04,41.01
149.29,88.22,63.98,133.37,121.54,63.26,78.47,79.97,89.97,176.96,177.61,176.79,178.61
144.57,76.84,76.15,123.67,132.42,65.9,70.02,89.92,83.85,178.21,176.14,177.41,38.93
149.18,78.27,69.3,124.89,128.48,68.15,71.19,89.95,90.08,178.51,176.94,178.02,178.06
147.45,76.88,71.54,124.82,131.94,71.12,72.26,89.92,96.18,179.67,177.03,178.28,177.5
155.85,77.85,75.15,120.96,141.6,77.48,68.01,90.27,89.57,177.53,175.91,179.71,176.74
142.77,74.2,75.92,125.36,130.76,64.32,69.97,89.62,90.28,177.13,177.37,173.38,177.46
153.47,78.15,75.69,124.16,132.91,67.8,68.63,89.46,90.34,176.64,175.9,178.3,176.0
142.34,76.39,71.99,121.9,126.11,70.1,75.58,89.79,95.86,176.65,177.3,179.37,177.51
152.14,81.02,68.01,128.01,124.06,74.49,80.4,87.17,88.89,173.38,177.95,176.61,176.63
149.35,76.29,77.38,123.0,126.04,75.97,74.07,90.02,90.06,176.21,175.68,176.5,177.66
148.29,76.93,77.57,120.55,118.06,71.26,76.7,89.68,84.43,174.38,174.82,179.78,179.3
153.02,70.94,77.89,121.77,119.36,65.31,81.26,93.78,95.92,175.9,176.06,177.93,173.91
150.87,68.8,82.87,115.42,108.29,71.74,59.92,96.39,90.7,177.4,177.14,178.98,178.48
152.38,71.25,80.01,120.26,115.97,70.04,83.76,92.73,90.72,176.59,177.65,179.97,179.27
144.52,71.39,77.01,119.8,113.8,65.05,85.93,93.77,95.6,177.39,177.18,179.97,179.29
142.74,70.91,77.39,121.91,117.02,59.72,85.23,93.48,90.24,176.94,175.52,179.98,178.83
142.78,70.87,77.42,120.94,118.18,60.92,82.87,93.52,84.51,176.94,177.29,179.41,177.52
145.94,70.6,81.37,119.91,119.19,70.52,86.38,93.32,90.28,176.92,177.4,178.85,179.84
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
