#head_JA,#r_shoulder_JA,#l_shoulder_JA,#r_upleg_JA,#l_upleg_JA,#r_elbow_JA,#l_elbow_JA,#upbody_JA,#waist_JA,#r_body_JA,#l_body_JA,#r_knee_JA,#l_knee_JA
10.18,71.34,87.15,89.9,95.21,159.67,52.35,93.46,91.9,177.39,175.51,179.12,179.16
10.4,71.79,84.63,90.29,92.46,160.53,52.35,93.23,91.99,176.69,175.39,179.86,179.19
10.41,69.28,85.69,86.81,92.03,56.03,38.52,95.51,92.2,176.21,175.7,178.78,179.78
9.74,70.33,81.07,89.24,92.25,162.72,52.87,95.97,95.31,177.48,174.44,179.93,179.92
9.47,75.84,94.99,90.43,102.97,164.38,51.71,88.03,92.08,176.78,175.4,178.93,177.85
8.97,72.51,94.76,90.91,102.98,163.26,51.72,92.01,85.93,177.35,174.45,176.03,177.65
9.28,69.93,88.6,89.78,98.63,163.32,52.49,94.57,91.05,175.58,177.42,178.1,179.11
9.78,65.39,84.13,84.98,91.77,162.35,48.22,101.33,76.84,177.16,174.18,179.85,179.79
8.97,66.09,82.29,83.96,93.36,166.67,177.18,100.59,86.17,178.46,174.22,175.52,179.74
9.03,69.13,97.09,90.77,104.14,164.39,48.36,94.98,81.49,179.88,172.51,178.89,178.13
8.48,71.95,98.74,94.16,107.13,162.29,50.37,91.27,86.52,178.75,175.25,179.08,178.54
9.19,64.33,90.52,84.78,98.85,164.28,171.05,101.25,90.65,174.99,171.94,179.42,176.38
8.13,67.04,95.63,92.23,105.84,163.46,172.62,93.82,80.85,178.33,173.3,179.84,179.98
8.04,64.5,86.95,89.53,97.2,161.73,51.5,99.3,84.56,175.67,177.01,178.87,179.32
8.1,69.95,78.94,90.65,96.03,163.48,165.1,95.4,91.29,178.49,176.15,178.29,179.51
7.42,75.6,79.58,94.18,97.09,162.17,171.57,92.97,84.29,176.06,174.93,178.03,179.91
6.59,79.9,75.23,95.53,103.85,135.15,162.17,89.76,78.1,177.65,176.4,178.32,176.91
6.25,84.91,72.34,95.8,128.02,51.79,86.7,86.79,79.86,179.75,173.23,179.44,178.81
6.65,80.77,75.95,90.99,136.93,51.72,133.51,90.76,86.65,178.84,174.76,178.83,178.86
7.85,87.54,72.89,31.99,139.55,0.0,134.95,94.26,91.1,179.63,177.45,179.97,177.17
161.63,143.75,83.18,35.1,133.01,0.0,0.0,94.72,79.84,176.59,179.59,40.52,175.9
171.99,150.28,79.78,29.27,158.07,0.0,52.61,86.76,74.32,176.15,168.06,173.31,170.13
168.21,108.72,70.98,70.48,132.31,0.0,117.24,127.38,77.33,165.94,169.97,176.95,177.72
164.62,59.09,170.54,120.41,131.03,0.0,110.23,173.43,36.2,167.8,168.66,179.11,179.5
162.1,32.08,93.75,119.75,51.05,80.58,122.61,95.0,84.76,171.42,174.95,177.6,179.44
153.93,32.83,88.31,111.79,64.18,18.62,120.43,90.83,88.6,171.95,177.14,176.9,175.64
147.36,33.1,83.99,144.02,60.03,165.07,106.78,89.84,89.96,178.08,175.52,178.74,176.27
139.05,33.5,83.83,143.24,76.66,60.47,109.59,90.11,90.05,177.6,178.78,179.95,174.24
158.28,76.98,75.36,137.71,118.09,58.6,79.53,85.3,90.37,176.89,179.71,178.76,178.86
141.69,71.34,79.84,132.22,130.54,66.48,77.65,89.53,90.42,179.1,175.48,177.74,178.85
151.32,70.93,82.87,131.2,126.77,60.76,79.6,89.6,90.37,177.72,177.32,178.23,178.89
146.49,75.92,72.56,130.81,124.08,68.29,73.32,89.38,90.39,178.22,176.2,179.61,180.0
134.9,72.89,76.35,130.22,134.78,68.28,63.43,89.49,90.36,177.83,176.55,176.32,179.99
155.34,74.77,69.7,130.04,126.01,60.21,66.17,89.17,90.82,177.44,179.65,175.4,178.5
150.41,74.89,72.67,125.02,122.53,61.41,73.95,89.09,90.69,178.3,175.93,179.97,179.99
148.97,78.03,78.13,132.73,125.5,66.58,75.61,84.71,91.43,177.55,175.74,178.72,179.91
141.34,75.25,75.69,126.93,123.98,67.8,77.36,90.01,89.99,176.05,175.23,175.59,179.42
145.01,76.47,68.32,127.51,121.42,58.26,66.97,89.99,89.91,173.24,177.94,177.12,179.81
146.89,80.18,67.62,129.12,116.97,68.11,75.33,86.2,90.01,176.31,172.91,176.73,176.3
148.68,73.86,78.4,125.67,129.44,70.97,72.64,89.99,83.78,176.3,175.92,178.35,177.04
142.76,73.79,76.67,127.13,128.28,74.9,72.88,89.27,84.55,178.52,174.68,174.98,178.66
149.71,74.59,80.39,132.96,119.22,68.79,69.25,88.57,85.32,177.33,173.65,174.77,178.77
147.38,77.1,79.57,132.66,125.73,71.64,74.65,84.87,85.25,177.77,174.55,174.86,178.85
142.08,69.3,79.16,122.45,121.06,66.04,75.12,92.6,91.1,177.27,174.2,175.41,179.45
144.43,75.14,76.93,126.23,127.13,69.92,73.69,90.0,89.92,178.52,175.37,179.22,178.34
148.47,75.97,77.38,128.53,114.37,72.55,73.48,89.92,84.12,175.7,174.96,176.04,179.99
153.82,79.64,78.6,97.29,104.92,22.29,72.0,86.91,84.05,174.8,174.99,176.06,179.66
