#head_JA,#r_shoulder_JA,#l_shoulder_JA,#r_upleg_JA,#l_upleg_JA,#r_elbow_JA,#l_elbow_JA,#upbody_JA,#waist_JA,#r_body_JA,#l_body_JA,#r_knee_JA,#l_knee_JA
132.91,79.11,78.71,106.12,126.11,86.17,86.31,90.0,99.56,177.14,173.68,171.27,176.98
130.29,79.36,78.29,106.17,128.49,90.64,86.91,90.01,90.04,177.59,173.23,31.67,178.1
127.17,78.35,72.71,111.48,136.71,66.42,69.12,89.63,90.33,176.18,176.72,32.4,36.75
132.04,75.23,74.47,113.51,141.13,75.86,17.1,89.36,90.54,177.52,174.79,31.16,34.38
134.87,76.2,69.54,104.87,91.18,32.47,52.77,91.27,91.88,177.2,168.79,31.88,31.43
148.91,77.5,69.4,145.76,163.86,0.0,5.55,83.87,93.36,39.91,54.24,0.0,0.0
145.15,58.02,85.56,117.33,144.82,14.4,35.21,97.52,84.76,178.95,170.12,31.54,34.92
6.98,72.54,66.01,172.15,170.42,28.93,48.26,92.81,83.76,54.37,179.35,0.0,33.75
142.98,51.74,68.21,106.43,176.82,25.48,2.0,101.28,74.24,179.64,174.1,31.35,35.88
144.43,49.65,77.25,98.95,178.51,36.59,4.15,105.35,79.44,180.0,171.32,30.71,33.61
7.32,74.33,68.45,179.91,179.78,20.79,55.54,95.12,95.98,176.64,174.76,40.57,37.92
132.77,49.03,81.49,102.67,171.83,36.39,8.63,105.89,75.01,179.65,168.96,30.62,31.34
0.0,0.0,4.49,0.0,141.04,0.0,17.71,0.0,0.0,0.0,0.0,0.0,0.0
7.0,72.46,68.23,172.37,174.02,22.71,51.87,92.82,100.26,174.4,178.28,173.8,35.07
7.3,84.19,67.37,150.73,160.52,30.53,36.83,82.97,83.77,173.73,178.5,38.87,34.42
138.75,71.22,72.44,131.12,165.83,99.15,7.38,88.79,88.33,177.32,171.06,32.84,37.81
133.85,64.62,71.77,102.45,21.57,30.07,0.0,104.37,90.42,175.64,170.54,34.97,32.28
129.36,76.64,66.51,119.43,140.51,42.35,43.35,89.59,85.91,176.21,177.32,33.33,172.32
127.33,78.26,72.51,113.46,132.99,73.39,71.9,89.09,86.36,176.97,175.83,178.77,37.07
131.19,78.61,79.03,105.71,126.21,88.85,84.34,89.07,90.89,176.93,175.42,32.08,173.07
135.84,79.39,76.07,106.52,122.98,89.93,85.88,90.99,98.58,179.05,173.75,31.13,178.87
129.2,82.68,76.77,108.72,123.04,86.59,82.28,87.6,94.22,175.43,172.89,33.86,178.63
132.0,82.66,76.84,108.71,124.09,81.82,84.86,86.98,90.01,175.2,174.95,34.68,36.54
132.05,82.64,76.85,108.71,124.1,84.22,84.35,87.0,90.0,177.44,175.15,176.47,37.01
